match_id,date,city,winner,winner_method,winner_margin,total_overs,player_of_match,team1,team2,team1_players,team2_players,first_bat,first_ball,venue,inning,over,deliveries,batter,bowler,runs_batter,extras,total_runs,wicket_player_out,wicket_kind
T20I # 2564,2024-04-14,Guacima,Mexico,runs,58,20,['Pratik Singh Bais'],Mexico,Costa Rica,"['S Elayaperumal', 'Shashikant Laxman', 'Praveen Santhanakrishnan', 'Seetharam Guruvayoorappan', 'Shoaib Rafiq', 'Shantanu Kaveri', 'SB Wagh', 'R Ankad', 'Pratik Singh Bais', 'DV Devjani Mutreja', 'GE Gutierrez Chavez']","['G Singhdeo', 'D Rawat', 'S Murari', 'G Murali', 'S Ravikumar', 'YJC Altamirano', 'S Pillai', 'RR Saun', 'PV Naringrekar', 'D Ganesh', 'Imran Ahmed Kaneez']",Mexico,Costa Rica,Los Reyes Polo Club,Mexico,0,1,S Elayaperumal,D Ganesh,0,0,0,,
T20I # 1175,2021-06-26,Sofia,-,no result,0,20,-,Bulgaria,Greece,"['H Lakov', 'Sulaiman Ali', 'IA De Silva', 'Bakhtiar Tahiri', 'P Mishra', ""KC D'Souza"", 'Aswad Khan', 'H Ivanov', 'J Albin', 'D Nikolov', 'Rohan Bhavesh Patel']","['Arsalan Ahmed', 'Aslam Mohammad', 'A Manousis', 'Asrar Ahmed', 'Syed Amanullah', 'A Manatos', 'AS Mehmi', 'GC Galanis', 'T Zotos', 'S Gasteratos', 'S Siriotis']",Bulgaria,Greece,"National Sports Academy, Sofia",Mexico,0,2,S Elayaperumal,D Ganesh,0,0,0,,
T20I # 553,2016-03-27,Chandigarh,India,wickets,6,20,['V Kohli'],India,Australia,"['RG Sharma', 'S Dhawan', 'V Kohli', 'SK Raina', 'Yuvraj Singh', 'MS Dhoni', 'HH Pandya', 'RA Jadeja', 'R Ashwin', 'A Nehra', 'JJ Bumrah']","['UT Khawaja', 'AJ Finch', 'DA Warner', 'SPD Smith', 'GJ Maxwell', 'SR Watson', 'JP Faulkner', 'PM Nevill', 'A Zampa', 'NM Coulter-Nile', 'JR Hazlewood']",Australia,India,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mexico,0,3,S Elayaperumal,D Ganesh,0,0,0,,
T20I # 2570,2024-04-16,Al Amarat,Bahrain,wickets,7,20,['Ali Dawood'],Cambodia,Bahrain,"['US Hathinjar', 'RR Sharan', 'RV Viraj', 'Luqman Butt', 'Lakshit Gupta', 'Salvin Stanly', 'E Beukes', 'KDACK Gunarathne', 'S Godara', 'Utkarsh Jain', 'Prasad Anish']","['Imran Ali Butt', 'Sarfaraz Ali', 'Umer Imtiaz', 'Haider Butt', 'Ahmer Bin Nisar', 'Junaid Aziz', 'Rizwan Butt', 'Ali Dawood', 'Imran Anwar', 'Abdul Majid Abbasi', 'S Veerapathiran']",Cambodia,Bahrain,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Mexico,0,4,S Elayaperumal,D Ganesh,0,0,0,,
T20I # 1168,2021-06-24,Cardiff,England,wickets,5,20,['LS Livingstone'],Sri Lanka,England,"['MD Gunathilaka', 'WIA Fernando', 'MDKJ Perera', 'BKG Mendis', 'N Dickwella', 'MD Shanaka', 'PWH de Silva', 'I Udana', 'A Dananjaya', 'B Fernando', 'PVD Chameera']","['JJ Roy', 'JM Bairstow', 'DJ Malan', 'EJG Morgan', 'SW Billings', 'LS Livingstone', 'SM Curran', 'DJ Willey', 'CJ Jordan', 'AU Rashid', 'MA Wood']",Sri Lanka,England,"Sophia Gardens, Cardiff",Mexico,0,5,S Elayaperumal,D Ganesh,1,0,1,,
T20I # 544,2016-03-21,Bangalore,Australia,wickets,3,20,['A Zampa'],Australia,Bangladesh,"['UT Khawaja', 'SR Watson', 'SPD Smith', 'DA Warner', 'GJ Maxwell', 'MR Marsh', 'JP Faulkner', 'JW Hastings', 'PM Nevill', 'NM Coulter-Nile', 'A Zampa']","['Mohammad Mithun', 'Soumya Sarkar', 'Sabbir Rahman', 'Shakib Al Hasan', 'Shuvagata Hom', 'Mahmudullah', 'Mushfiqur Rahim', 'Mashrafe Mortaza', 'Saqlain Sajib', 'Al-Amin Hossain', 'Mustafizur Rahman']",Bangladesh,Australia,M Chinnaswamy Stadium,Mexico,0,6,Shashikant Laxman,D Ganesh,0,0,0,,
T20I # 1188,2021-07-10,Gros Islet,West Indies,runs,56,20,['SO Hetmyer'],West Indies,Australia,"['LMP Simmons', 'ADS Fletcher', 'CH Gayle', 'SO Hetmyer', 'DJ Bravo', 'AD Russell', 'N Pooran', 'FA Allen', 'HR Walsh', 'SS Cottrell', 'FH Edwards']","['MS Wade', 'AJ Finch', 'MR Marsh', 'JR Philippe', 'MC Henriques', 'BR McDermott', 'DT Christian', 'AC Agar', 'MA Starc', 'A Zampa', 'JR Hazlewood']",West Indies,Australia,"Daren Sammy National Cricket Stadium, Gros Islet, St Lucia",Mexico,1,1,S Elayaperumal,S Pillai,0,0,0,,
T20I # 2573,2024-04-17,Al Amarat,United Arab Emirates,wickets,9,20,['Aayan Afzal Khan'],Cambodia,United Arab Emirates,"['US Hathinjar', 'RV Viraj', 'RR Sharan', 'Luqman Butt', 'Lakshit Gupta', 'E Beukes', 'S Godara', 'KDACK Gunarathne', 'Utkarsh Jain', 'GC Murtaza', 'Prasad Anish']","['A Sharafu', 'Waseem Muhammad', 'Asif Khan', 'V Sukumaran', 'Syed Haider', 'Basil Hameed', 'Aayan Afzal Khan', 'Ali Naseer', 'Muhammad Farooq', 'Akif Raja', 'Omid Shafi Rahman']",Cambodia,United Arab Emirates,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Mexico,1,2,S Elayaperumal,S Pillai,0,0,0,,
T20I # 167,2010-05-08,Barbados,New Zealand,runs,1,20,['IG Butler'],New Zealand,Pakistan,"['BB McCullum', 'JD Ryder', 'MJ Guptill', 'LRPL Taylor', 'DL Vettori', 'SB Styris', 'GJ Hopkins', 'NL McCullum', 'IG Butler', 'KD Mills', 'SE Bond']","['Kamran Akmal', 'Salman Butt', 'Mohammad Hafeez', 'Umar Akmal', 'Misbah-ul-Haq', 'Shahid Afridi', 'Abdul Razzaq', 'Abdur Rehman', 'Mohammad Amir', 'Saeed Ajmal', 'Mohammad Sami']",New Zealand,Pakistan,"Kensington Oval, Bridgetown",Mexico,1,3,S Elayaperumal,S Pillai,0,0,0,,
T20I # 167,2010-05-08,Barbados,New Zealand,runs,1,20,['IG Butler'],New Zealand,Pakistan,"['BB McCullum', 'JD Ryder', 'MJ Guptill', 'LRPL Taylor', 'DL Vettori', 'SB Styris', 'GJ Hopkins', 'NL McCullum', 'IG Butler', 'KD Mills', 'SE Bond']","['Kamran Akmal', 'Salman Butt', 'Mohammad Hafeez', 'Umar Akmal', 'Misbah-ul-Haq', 'Shahid Afridi', 'Abdul Razzaq', 'Abdur Rehman', 'Mohammad Amir', 'Saeed Ajmal', 'Mohammad Sami']",New Zealand,Pakistan,"Kensington Oval, Bridgetown",Mexico,1,4,S Elayaperumal,S Pillai,1,0,1,,
T20I # 167,2010-05-08,Barbados,New Zealand,runs,1,20,['IG Butler'],New Zealand,Pakistan,"['BB McCullum', 'JD Ryder', 'MJ Guptill', 'LRPL Taylor', 'DL Vettori', 'SB Styris', 'GJ Hopkins', 'NL McCullum', 'IG Butler', 'KD Mills', 'SE Bond']","['Kamran Akmal', 'Salman Butt', 'Mohammad Hafeez', 'Umar Akmal', 'Misbah-ul-Haq', 'Shahid Afridi', 'Abdul Razzaq', 'Abdur Rehman', 'Mohammad Amir', 'Saeed Ajmal', 'Mohammad Sami']",New Zealand,Pakistan,"Kensington Oval, Bridgetown",Mexico,1,5,Shashikant Laxman,S Pillai,0,0,0,,
T20I # 167,2010-05-08,Barbados,New Zealand,runs,1,20,['IG Butler'],New Zealand,Pakistan,"['BB McCullum', 'JD Ryder', 'MJ Guptill', 'LRPL Taylor', 'DL Vettori', 'SB Styris', 'GJ Hopkins', 'NL McCullum', 'IG Butler', 'KD Mills', 'SE Bond']","['Kamran Akmal', 'Salman Butt', 'Mohammad Hafeez', 'Umar Akmal', 'Misbah-ul-Haq', 'Shahid Afridi', 'Abdul Razzaq', 'Abdur Rehman', 'Mohammad Amir', 'Saeed Ajmal', 'Mohammad Sami']",New Zealand,Pakistan,"Kensington Oval, Bridgetown",Mexico,1,6,Shashikant Laxman,S Pillai,0,0,0,,
T20I # 167,2010-05-08,Barbados,New Zealand,runs,1,20,['IG Butler'],New Zealand,Pakistan,"['BB McCullum', 'JD Ryder', 'MJ Guptill', 'LRPL Taylor', 'DL Vettori', 'SB Styris', 'GJ Hopkins', 'NL McCullum', 'IG Butler', 'KD Mills', 'SE Bond']","['Kamran Akmal', 'Salman Butt', 'Mohammad Hafeez', 'Umar Akmal', 'Misbah-ul-Haq', 'Shahid Afridi', 'Abdul Razzaq', 'Abdur Rehman', 'Mohammad Amir', 'Saeed Ajmal', 'Mohammad Sami']",New Zealand,Pakistan,"Kensington Oval, Bridgetown",Mexico,2,1,S Elayaperumal,D Ganesh,1,0,1,,
T20I # 167,2010-05-08,Barbados,New Zealand,runs,1,20,['IG Butler'],New Zealand,Pakistan,"['BB McCullum', 'JD Ryder', 'MJ Guptill', 'LRPL Taylor', 'DL Vettori', 'SB Styris', 'GJ Hopkins', 'NL McCullum', 'IG Butler', 'KD Mills', 'SE Bond']","['Kamran Akmal', 'Salman Butt', 'Mohammad Hafeez', 'Umar Akmal', 'Misbah-ul-Haq', 'Shahid Afridi', 'Abdul Razzaq', 'Abdur Rehman', 'Mohammad Amir', 'Saeed Ajmal', 'Mohammad Sami']",New Zealand,Pakistan,"Kensington Oval, Bridgetown",Mexico,2,2,Shashikant Laxman,D Ganesh,2,0,2,,
T20I # 167,2010-05-08,Barbados,New Zealand,runs,1,20,['IG Butler'],New Zealand,Pakistan,"['BB McCullum', 'JD Ryder', 'MJ Guptill', 'LRPL Taylor', 'DL Vettori', 'SB Styris', 'GJ Hopkins', 'NL McCullum', 'IG Butler', 'KD Mills', 'SE Bond']","['Kamran Akmal', 'Salman Butt', 'Mohammad Hafeez', 'Umar Akmal', 'Misbah-ul-Haq', 'Shahid Afridi', 'Abdul Razzaq', 'Abdur Rehman', 'Mohammad Amir', 'Saeed Ajmal', 'Mohammad Sami']",New Zealand,Pakistan,"Kensington Oval, Bridgetown",Mexico,2,3,Shashikant Laxman,D Ganesh,0,0,0,,
T20I # 167,2010-05-08,Barbados,New Zealand,runs,1,20,['IG Butler'],New Zealand,Pakistan,"['BB McCullum', 'JD Ryder', 'MJ Guptill', 'LRPL Taylor', 'DL Vettori', 'SB Styris', 'GJ Hopkins', 'NL McCullum', 'IG Butler', 'KD Mills', 'SE Bond']","['Kamran Akmal', 'Salman Butt', 'Mohammad Hafeez', 'Umar Akmal', 'Misbah-ul-Haq', 'Shahid Afridi', 'Abdul Razzaq', 'Abdur Rehman', 'Mohammad Amir', 'Saeed Ajmal', 'Mohammad Sami']",New Zealand,Pakistan,"Kensington Oval, Bridgetown",Mexico,2,4,Shashikant Laxman,D Ganesh,0,0,0,,
T20I # 167,2010-05-08,Barbados,New Zealand,runs,1,20,['IG Butler'],New Zealand,Pakistan,"['BB McCullum', 'JD Ryder', 'MJ Guptill', 'LRPL Taylor', 'DL Vettori', 'SB Styris', 'GJ Hopkins', 'NL McCullum', 'IG Butler', 'KD Mills', 'SE Bond']","['Kamran Akmal', 'Salman Butt', 'Mohammad Hafeez', 'Umar Akmal', 'Misbah-ul-Haq', 'Shahid Afridi', 'Abdul Razzaq', 'Abdur Rehman', 'Mohammad Amir', 'Saeed Ajmal', 'Mohammad Sami']",New Zealand,Pakistan,"Kensington Oval, Bridgetown",Mexico,2,5,Shashikant Laxman,D Ganesh,0,0,0,,
T20I # 167,2010-05-08,Barbados,New Zealand,runs,1,20,['IG Butler'],New Zealand,Pakistan,"['BB McCullum', 'JD Ryder', 'MJ Guptill', 'LRPL Taylor', 'DL Vettori', 'SB Styris', 'GJ Hopkins', 'NL McCullum', 'IG Butler', 'KD Mills', 'SE Bond']","['Kamran Akmal', 'Salman Butt', 'Mohammad Hafeez', 'Umar Akmal', 'Misbah-ul-Haq', 'Shahid Afridi', 'Abdul Razzaq', 'Abdur Rehman', 'Mohammad Amir', 'Saeed Ajmal', 'Mohammad Sami']",New Zealand,Pakistan,"Kensington Oval, Bridgetown",Mexico,2,6,Shashikant Laxman,D Ganesh,0,0,0,,
T20I # 167,2010-05-08,Barbados,New Zealand,runs,1,20,['IG Butler'],New Zealand,Pakistan,"['BB McCullum', 'JD Ryder', 'MJ Guptill', 'LRPL Taylor', 'DL Vettori', 'SB Styris', 'GJ Hopkins', 'NL McCullum', 'IG Butler', 'KD Mills', 'SE Bond']","['Kamran Akmal', 'Salman Butt', 'Mohammad Hafeez', 'Umar Akmal', 'Misbah-ul-Haq', 'Shahid Afridi', 'Abdul Razzaq', 'Abdur Rehman', 'Mohammad Amir', 'Saeed Ajmal', 'Mohammad Sami']",New Zealand,Pakistan,"Kensington Oval, Bridgetown",Mexico,3,1,S Elayaperumal,S Pillai,0,0,0,,
