match_id,first_bat_team,second_bat_team,url,first_bat_team_players,second_bat_team_players
T20I # 3,South Africa,New Zealand,/series/new-zealand-tour-of-south-africa-2005-06-212910/south-africa-vs-new-zealand-only-t20i-222678/full-scorecard,"['Graeme Smith', 'Jacques Kallis', 'Herschelle Gibbs', 'Justin Kemp', 'Mark Boucher', 'Shaun Pollock', 'Ashwell Prince', 'Albie Morkel', 'Charl Langeveldt', 'Makhaya Ntini', 'Andre Nel']","['Stephen Fleming', 'Nathan Astle', 'Hamish Marshall', 'Craig McMillan', 'Scott Styris', 'Jacob Oram', 'Brendon McCullum', 'Kyle Mills', 'Andre Adams', 'Shane Bond', 'James Marshall']"
T20I # 2,England,Australia,/series/australia-tour-of-england-and-scotland-2005-139019/england-vs-australia-only-t20i-211028/full-scorecard,"['Marcus Trescothick', 'Geraint Jones', 'Andrew Flintoff', 'Kevin Pietersen', 'Michael Vaughan', 'Paul Collingwood', 'Andrew Strauss', 'Vikram Solanki', 'Jon Lewis', 'Darren Gough', 'Steve Harmison']","['Adam Gilchrist', 'Matthew Hayden', 'Andrew Symonds', 'Michael Clarke', 'Michael Hussey', 'Ricky Ponting', 'Damien Martyn', 'Brett Lee', 'Jason Gillespie', 'Michael Kasprowicz', 'Glenn McGrath']"
T20I # 1,Australia,New Zealand,/series/australia-tour-of-new-zealand-2004-05-61407/new-zealand-vs-australia-only-t20i-211048/full-scorecard,"['Adam Gilchrist', 'Michael Clarke', 'Andrew Symonds', 'Ricky Ponting', 'Damien Martyn', 'Simon Katich', 'Michael Hussey', 'James Hopes', 'Brett Lee', 'Michael Kasprowicz', 'Glenn McGrath']","['Brendon McCullum', 'Stephen Fleming', 'Mathew Sinclair', 'Scott Styris', 'Craig McMillan', 'Chris Cairns', 'Hamish Marshall', 'Andre Adams', 'Jeff Wilson', 'Kyle Mills', 'Daryl Tuffey']"
T20I # 12,Sri Lanka,New Zealand,/series/sri-lanka-tour-of-new-zealand-2006-07-251037/new-zealand-vs-sri-lanka-2nd-t20i-251488/full-scorecard,"['Upul Tharanga', 'Chamara Kapugedera', 'Mahela Jayawardene', 'Kumar Sangakkara', 'Marvan Atapattu', 'Tillakaratne Dilshan', 'Chamara Silva', 'Malinga Bandara', 'Lasith Malinga', 'Dilhara Fernando', 'Ruchira Perera']","['Brendon McCullum', 'Stephen Fleming', 'Ross Taylor', 'Nathan Astle', 'Peter Fulton', 'Peter McGlashan', 'James Franklin', 'Andre Adams', 'Mark Gillespie', 'Jeetan Patel', 'Michael Mason']"
T20I # 11,New Zealand,Sri Lanka,/series/sri-lanka-tour-of-new-zealand-2006-07-251037/new-zealand-vs-sri-lanka-1st-t20i-251487/full-scorecard,"['Brendon McCullum', 'Stephen Fleming', 'James Franklin', 'Ross Taylor', 'Nathan Astle', 'James Marshall', 'Peter McGlashan', 'Andre Adams', 'Shane Bond', 'Mark Gillespie', 'Jeetan Patel']","['Upul Tharanga', 'Sanath Jayasuriya', 'Mahela Jayawardene', 'Kumar Sangakkara', 'Marvan Atapattu', 'Chamara Silva', 'Chamara Kapugedera', 'Farveez Maharoof', 'Chaminda Vaas', 'Dilhara Fernando', 'Muthiah Muralidaran']"
T20I # 10,South Africa,India,/series/india-tour-of-south-africa-2006-07-249039/south-africa-vs-india-only-t20i-255954/full-scorecard,"['Graeme Smith', 'Loots Bosman', 'Herschelle Gibbs', 'Justin Kemp', 'AB de Villiers', 'Albie Morkel', 'Johan van der Wath', 'Robin Peterson', 'Tyron Henderson', 'Roger Telemachus', 'Charl Langeveldt']","['Virender Sehwag', 'Sachin Tendulkar', 'Dinesh Mongia', 'MS Dhoni', 'Dinesh Karthik', 'Suresh Raina', 'Irfan Pathan', 'Harbhajan Singh', 'Zaheer Khan', 'Ajit Agarkar', 'Sreesanth']"
T20I # 9,Bangladesh,Zimbabwe,/series/zimbabwe-tour-of-bangladesh-2006-07-264061/bangladesh-vs-zimbabwe-only-t20i-264065/full-scorecard,"['Nazmus Sadat', 'Shahriar Nafees', 'Aftab Ahmed', 'Shakib Al Hasan', 'Nadif Chowdhury', 'Farhad Reza', 'Mushfiqur Rahim', 'Mashrafe Mortaza', 'Mohammad Rafique', 'Abdur Razzak', 'Shahadat Hossain']","['Brendan Taylor', 'Stuart Matsikenyeri', 'Elton Chigumbura', 'Hamilton Masakadza', 'Sean Williams', 'Keith Dabengwa', 'Mluleki Nkala', 'Gary Brent', 'Prosper Utseya', 'Chamu Chibhabha', 'Anthony Ireland']"
T20I # 8,England,Pakistan,/series/pakistan-tour-of-england-and-scotland-2006-211973/england-vs-pakistan-only-t20i-225263/full-scorecard,"['Marcus Trescothick', 'Ian Bell', 'Kevin Pietersen', 'Andrew Strauss', 'Paul Collingwood', 'Jamie Dalrymple', 'Michael Yardy', 'Chris Read', 'Sajid Mahmood', 'Darren Gough', 'Stuart Broad']","['Shoaib Malik', 'Mohammad Hafeez', 'Younis Khan', 'Shahid Afridi', 'Mohammad Yousuf', 'Inzamam-ul-Haq', 'Abdul Razzaq', 'Kamran Akmal', 'Naved-ul-Hasan', 'Shoaib Akhtar', 'Mohammad Asif']"
T20I # 7,Sri Lanka,England,/series/sri-lanka-tour-of-england-2006-211972/england-vs-sri-lanka-only-t20i-225271/full-scorecard,"['Sanath Jayasuriya', 'Upul Tharanga', 'Mahela Jayawardene', 'Tillakaratne Dilshan', 'Kumar Sangakkara', 'Russel Arnold', 'Chamara Kapugedera', 'Farveez Maharoof', 'Lasith Malinga', 'Dilhara Fernando', 'Ruchira Perera']","['Marcus Trescothick', 'Andrew Strauss', 'Kevin Pietersen', 'Paul Collingwood', 'Jamie Dalrymple', 'Geraint Jones', 'Tim Bresnan', 'Ed Joyce', 'Liam Plunkett', 'Sajid Mahmood', 'Steve Harmison']"
T20I # 6,South Africa,Australia,/series/australia-tour-of-south-africa-2005-06-212912/south-africa-vs-australia-only-t20i-238195/full-scorecard,"['Graeme Smith', 'Loots Bosman', 'Herschelle Gibbs', 'Shaun Pollock', 'Johan van der Wath', 'AB de Villiers', 'Neil McKenzie', 'Andrew Hall', 'Robin Peterson', 'Roger Telemachus', 'Makhaya Ntini']","['Adam Gilchrist', 'Simon Katich', 'Ricky Ponting', 'Damien Martyn', 'Michael Clarke', 'Shane Watson', 'Brad Hogg', 'Brett Lee', 'Nathan Bracken', 'Mick Lewis', 'Stuart Clark']"
